ID,sex,age_years,right_handedness,years_in_education,highest_education_level,current_education_level,digit_span_forward,digit_span_backward,grammatical_sensitivity,nback_1_back_dprime,nback_2_back_dprime,nback_3_back_dprime,one_minute_reading,predictive_sent_proc_RT,predictive_sent_proc_accuracy,perceptual_speed_visual_RT,perceptual_speed_auditory_RT,perceptual_speed_visual_decision,SEGM_RT_training,SEGM_RT_TRN3_RND4,SEGM_RT_RND4_REC5,SEGM_ACC_training,SEGM_ACC_TRN3_RND4,SEGM_ACC_RND4_REC5,SEGM_2AFC_bigram,SEGM_2AFC_trigram,SEGM_production,AGL_ACC_training,AGL_2AFC_phrase,AGL_2AFC_sentence,AGL_production,selfpaced_gardenpath_target,selfpaced_violation_processing_target,simon_RT,simon_accuracy,stroop_RT,stroop_accuracy,pragmatic_comprehension
5061,female,48.31111111,1,14,secondary,NA,6,4,0.769230769,2.1231727990000002,0.757151053,-3.42326956,192,0.182573,0.001976285,0.306255,0.2780175,NA,0.1787925,0.13666,0.2118925,-0.0625,0.0625,0,0.5,0.611111111,0.333333333,0.071428571,0.409090909,0.75,0.375,0.1962025,0.465925,0.0634075,0.05,0.143495,0.033333333,0.777777778
5062,male,52.55277778,1,18,MA_MSc,NA,6,4,0.846153846,-0.524400513,-0.777747616,-0.58827413,244,0.7619935,0.045454545,0.3249225,0.28675,0.8299025,-0.061375,0.12011,0.0766125,0,0.125,-0.375,0.5,0.666666667,0.416666667,0.095238095,0.409090909,0.4375,0.291666667,-0.0188775,0.0295125,0.018275,0.05,0.13699,0.016666667,0.777777778
5063,male,22.89722222,0,15,secondary,MA_MSc,5,6,0.384615385,5.546442359,1.956041316,-0.253347103,273,0.29923,0,0.274915,0.38655,0.95894,0.100385,0.1585125,0.1699575,0.0625,0.0625,0,0.666666667,0.277777778,0.5,0.047619048,0.681818182,0.6875,0.291666667,0.147756875,0.5399575,-0.0229125,0.05,0.3545825,0.066666667,0.611111111
5065,male,34.58055556,1,21,MA_MSc,NA,10,8,0.692307692,5.546442359,1.71092314,0,339,0.132198,0.045454545,0.327475,0.285455,0.7722275,0.03388,0.1701725,0.2206,0,0.0625,0.0625,0.777777778,0.722222222,0.916666667,-0.023809524,0.545454545,0.625,0.75,0.157527222,0.625945625,0.03882,0.075,0.2479025,0.05,0.722222222
5066,female,35.11944444,1,21,MA_MSc,NA,7,5,0.846153846,1.683242467,1.120453114,2.983339228,359,0.773275,0.001976285,0.3015,0.285,1.026,-0.051,-0.038,-0.072,-0.5,0.3125,0.625,0.722222222,0.555555556,0.5,0.30952381,0.5,0.5,0.458333333,-0.072166667,-0.0615,0.0955,0.1,0.2375,0,0.722222222
5067,female,45.30277778,1,14,secondary,NA,5,5,0.384615385,8.529781588,5.106512027,-0.506694206,185,0.0426665,0,0.4553425,0.3366625,1.0858975,0.2487575,0.3691475,0.14317,0.0625,0.1875,0.1875,0.666666667,0.5,0.833333333,0.166666667,0.5,0.8125,0.375,0.055888571,0.356566875,0.0493075,0.025,0.391365,0,0.777777778
5068,male,46.10555556,1,21,BA_BSc,NA,2,3,0.538461538,0,0.506694206,0.253347103,246,0.405077,0.04743083,0.364,0.325,1.076,-0.114999999,-0.108,-0.163,-0.125,0.375,0.125,0.555555556,0.5,0.666666667,0.166666667,0.454545455,0.625,0.416666667,0.502333333,0.913142857,0.1235,0.05,0.0495,0,0.555555556
5070,male,51.375,1,16,BA_BSc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06834,0.037555,0.008845,0,0.125,0.1875,0.555555556,0.444444444,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5072,male,56.88611111,1,18,MA_MSc,NA,NA,NA,0.769230769,NA,NA,NA,603,NA,NA,0.253145,0.3039925,0.659655,-0.013335,0.316045,0.298395,0,0.0625,0.0625,0.5,0.277777778,0.416666667,NA,NA,NA,NA,0.005051111,-0.007313571,0.0479,0.1,NA,NA,NA
5073,male,22.44166667,1,16,BA_BSc,NA,NA,NA,0.769230769,NA,NA,NA,NA,NA,NA,0.32861,0.247975,0.73411,-0.0790675,0.0223325,0.0716025,0.0625,0.0625,0.0625,0.666666667,0.555555556,0.583333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5074,male,24.51666667,1,18,BA_BSc,MA_MSc,2,2,0.769230769,5.546442359,-0.398739166,0,385,0.518543,0,0.3007875,0.3429825,1.376185,0.38067,0.288285,0.2348125,0.0625,0.3125,0.3125,0.5,0.611111111,0.583333333,-0.095238095,0.545454545,0.75,0.458333333,NA,NA,0.0383,0.075,0.267845,0.016666667,1
5075,male,66.22777778,1,42,MA_MSc,NA,7,2,0.769230769,1.683242467,-0.139080046,-4.518237897,447,0.287835,0.001976285,NA,0.326,1.205,0.002,0.007,0.023,-0.3125,-0.375,0,0.611111111,0.611111111,0.5,0.142857143,0.5,0.5,0.416666667,0.1953,0.54575,0.0945,0.075,0.055,-0.016666667,0.722222222
5076,male,23.76388889,1,16,BA_BSc,MA_MSc,8,6,0.692307692,5.106512027,1.770514974,0,581,0.0696775,0.090909091,NA,NA,1.217,0.194,0.4875,0.4395,0.0625,0.25,0.25,0.611111111,0.833333333,0.916666667,0.119047619,0.409090909,0.625,0.541666667,0.0266,-0.027857143,0.0435,0.25,0.1205,0.166666667,0.722222222
5078,female,23.8,1,12,secondary,NA,5,5,0.692307692,5.106512027,1.683242467,0.253347103,260,0.892423,0.140316206,0.339055,0.3057075,0.88734,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.095238095,0.727272727,0.5,0.541666667,0.281138889,0.172218571,0.093015,0.05,0.104075,0.066666667,0.777777778
5079,male,22.25277778,1,14,secondary,BA_BSc,4,3,NA,NA,NA,NA,NA,0.20805,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5080,female,55.76111111,1,18,MA_MSc,NA,6,5,0.615384615,5.546442359,1.198890263,1.028204462,223,0.379815,0.045454545,0.2935,0.3385,0.847,0.182,0.401,0.277,-0.125,-0.125,0,0.388888889,0.777777778,0.5,-0.214285714,0.454545455,0.5625,0.458333333,-0.1352,0.1865,0.083,0.025,0.216,0.033333333,0.833333333
5081,male,54.93888889,NA,12,secondary,NA,6,4,0.538461538,5.546442359,1.560833902,-0.317220721,393,NA,NA,0.4075,0.256,0.886,0.1095,0.38,0.3805,-0.0625,0,0,0.388888889,0.444444444,1,0.071428571,0.545454545,0.75,0.5,-0.021888889,0.140125,-0.0155,0.075,0.417,0.083333333,0.777777778
5083,female,53.975,1,17,MA_MSc,NA,7,6,0.923076923,5.546442359,0.510981813,-1.028204462,NA,0.237053,0,0.3581225,0.2592875,1.136,0.0213875,0.1450225,0.18492,0.125,0.0625,0.0625,0.666666667,0.555555556,0.75,0,0.409090909,0.625,0.375,-0.14641375,0.173851429,0.103265,0.025,0.171025,-0.016666667,0.722222222
5084,male,23.33888889,1,16,secondary,BA_BSc,9,5,0.692307692,5.546442359,2.563103131,0.58827413,337,0.697144,0,0.30145,0.2849525,0.915265,0.2621125,0.522455,0.325055,-0.0625,0.3125,0.3125,0.555555556,0.777777778,0.833333333,-0.047619048,0.590909091,0.5625,0.5,0.032737,0.164426429,-0.00422,-0.05,0.3408825,0.05,0.777777778
5085,male,55.73333333,1,12,secondary,NA,6,6,0.846153846,8.529781588,1.878054623,0,218,0.993143,0.045454545,0.2680775,0.242305,0.853145,-0.0084,0.097335,0.073655,0,0.0625,0.0625,0.611111111,0.666666667,0.5,0.095238095,0.454545455,0.75,0.416666667,-0.006874375,0.367443125,0.06026,0.05,0.19086,0.016666667,0.666666667
5086,male,27.025,1,24,BA_BSc,MA_MSc,5,6,0.692307692,-0.524400513,-0.841621234,-1.366021746,318,0.8421325,0,0.3120225,0.2877275,1.5172775,-0.06912,0.0059725,-0.0263075,0.125,0.3125,0.4375,0.5,0.5,0.416666667,0.166666667,0.5,0.75,0.625,0.022165,0.5549975,-0.00324,0.025,NA,NA,0.722222222
5087,female,45.88333333,1,12,secondary,NA,7,6,0.692307692,5.546442359,0.506694206,-0.524400513,223,0.1877085,0,0.3196375,0.31787,1.10717,0.03916,0.2862925,0.202785,0.125,0.4375,0.375,0.5,0.444444444,1,0.166666667,0.545454545,0.625,0.416666667,0.397974444,0.552679375,0.0693525,0.025,0.12151,-0.016666667,0.388888889
