ID,ba_da.wav,ba_ga.wav,ba_ka.wav,ba_pa.wav,ba_ta.wav,da_ba.wav,da_ga.wav,da_ka.wav,da_pa.wav,da_ta.wav,ga_ba.wav,ga_da.wav,ga_ka.wav,ga_pa.wav,ga_ta.wav,ka_ba.wav,ka_da.wav,ka_ga.wav,ka_pa.wav,ka_ta.wav,pa_ba.wav,pa_da.wav,pa_ga.wav,pa_ka.wav,pa_ta.wav,ta_ba.wav,ta_da.wav,ta_ga.wav,ta_ka.wav,ta_pa.wav
7051,right,right,,left,right,right,right,right,right,left,right,right,left,,,right,right,right,right,right,right,right,right,left,right,right,right,right,right,right
7054,left,,left,left,left,left,right,left,left,left,left,left,left,left,left,,,right,right,,right,,right,left,left,,right,,left,left
7057,right,right,,left,,right,right,,,left,left,left,left,,left,right,,right,right,right,right,right,,left,right,right,right,right,right,right
7060,right,right,left,left,right,left,right,right,,left,left,left,left,,left,left,,right,right,left,right,right,right,right,left,right,right,right,right,right
7063,left,right,,left,left,right,right,,,left,right,left,left,,left,,,right,right,right,right,,right,right,left,right,right,right,right,right
7066,right,right,,right,right,left,right,right,right,right,left,left,left,right,,right,right,right,right,right,right,right,right,left,left,right,right,right,left,right
7069,right,right,right,left,right,left,right,,,left,left,,left,left,left,right,left,right,right,left,right,,right,right,left,right,right,right,right,right
7075,left,right,left,left,left,right,right,,,left,left,left,left,left,left,right,right,right,,left,right,right,right,right,right,right,right,right,right,right
7078,right,right,right,left,right,left,right,,left,left,left,,left,left,,right,,left,right,left,right,left,,left,right,right,right,right,right,left
7081,left,right,right,left,left,left,right,,left,left,left,left,left,left,left,left,,right,right,left,right,,left,left,left,,right,,right,right
7087,left,left,left,left,left,right,right,,left,left,right,left,left,,left,right,,right,right,left,right,,right,left,left,right,right,right,right,left
7090,left,left,,left,left,right,left,,,left,right,right,left,,left,,,right,left,left,right,,,right,left,right,right,right,right,right
7093,right,,left,left,,left,right,right,,left,left,left,left,,left,,right,right,right,right,right,right,right,left,right,,right,right,left,left
7096,left,right,left,left,right,left,right,,,left,right,left,left,left,left,,,right,right,right,left,,right,left,right,left,left,right,left,right
7099,left,right,right,left,left,left,left,,left,,right,left,left,left,left,,right,right,right,right,right,right,right,left,right,right,right,right,,right
7102,left,left,left,left,,right,right,,right,right,right,left,left,,,right,,right,right,right,right,,right,left,left,right,right,right,,right
7105,left,right,left,left,left,left,right,,left,left,left,left,left,left,left,,,left,left,left,right,,,left,left,,right,right,left,right
7108,right,left,left,left,,left,left,,left,left,left,left,left,,,right,right,right,right,right,right,right,right,left,right,,right,,left,left
7111,right,right,right,right,,left,right,,right,left,left,right,left,,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right
7117,right,right,right,left,left,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,left,left,right,right,right,right,right
7120,right,right,,left,,right,right,,left,left,left,right,left,left,left,,,right,right,right,right,right,right,right,right,right,right,right,right,right
7123,left,right,,left,,right,right,,right,right,left,left,left,left,left,,,right,right,left,right,,right,right,right,right,right,right,right,right
7126,left,left,left,left,left,right,left,,left,left,right,,left,,,,,right,left,left,right,,,right,right,right,right,,right,right
7129,left,right,,left,left,right,right,,,left,right,left,left,,left,right,,right,right,right,right,,right,right,right,right,right,right,right,right
